updateDate	line	rule	project	effort	type	cleanCodeAttribute	issueStatus	flows	scope	key	severity	comments	author	cleanCodeAttributeCategory	messageFormattings	impacts	message	creationDate	quickFixAvailable	tags	codeVariants	component	prioritizedRule	textRange	debt	hash	status
2025-12-26T21:23:11-0300	1.0	dartanalyzer:prefer_double_quotes	Economizapp-ChatGPT	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	e8a38f13-a72b-4bfc-90c2-6f7437a94d35	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Unnecessary use of single quotes	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/app.dart	false	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=39.0}	1min	d9c48154525d174cff661ae1bec16e76	OPEN
2025-12-26T21:23:11-0300	2.0	dartanalyzer:prefer_double_quotes	Economizapp-ChatGPT	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	b8f73e20-e7f4-4910-8cde-ed72d28d7517	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Unnecessary use of single quotes	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/app.dart	false	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=36.0}	1min	e353ca05a4ca32a1c7bbd81d1a0ad26f	OPEN
2025-12-26T21:23:11-0300	2.0	dartanalyzer:always_use_package_imports	Economizapp-ChatGPT	5min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	f53fe2ee-13df-4480-9287-46511d27da83	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Use 'package:' imports for files in the 'lib' directory	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/app.dart	false	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=36.0}	5min	e353ca05a4ca32a1c7bbd81d1a0ad26f	OPEN
2025-12-26T21:23:11-0300	4.0	dartanalyzer:public_member_api_docs	Economizapp-ChatGPT	10min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	f40b5f34-b4af-4f14-87e8-7cce28bfafe9	INFO			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Missing documentation for a public member	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/app.dart	false	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=43.0}	10min	eabc48b0bdd9b4c3bd26ac6883e8dc61	OPEN
2025-12-26T21:23:11-0300	5.0	dartanalyzer:diagnostic_describe_all_properties	Economizapp-ChatGPT	5min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	7fd8936a-4526-4024-b5e5-25afc5df55b4	MAJOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	The public property isn't described by either 'debugFillProperties' or 'debugDescribeChildren'	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/app.dart	false	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=47.0}	5min	9a6f06daa32785d2fe6b72a97c9fb2cc	OPEN
2025-12-26T21:23:11-0300	5.0	dartanalyzer:public_member_api_docs	Economizapp-ChatGPT	10min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	d6f7e613-2f3b-4f9e-bddf-6a583cf65dfb	INFO			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Missing documentation for a public member	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/app.dart	false	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=47.0}	10min	9a6f06daa32785d2fe6b72a97c9fb2cc	OPEN
2025-12-26T21:23:11-0300	7.0	dartanalyzer:sort_constructors_first	Economizapp-ChatGPT	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	0bf9b32a-77a0-4d81-b381-7a59fc76f0fd	MAJOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	constructor declarations	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/app.dart	false	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=61.0}	1min	e35a38b14ddb110966fef823a3d48139	OPEN
2025-12-26T21:23:11-0300	7.0	dartanalyzer:always_put_required_named_parameters_first	Economizapp-ChatGPT	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	282ba40b-6f00-4545-96e4-19ca6535098d	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Required named parameters should be before optional named parameters	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/app.dart	false	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=61.0}	1min	e35a38b14ddb110966fef823a3d48139	OPEN
2025-12-26T21:23:11-0300	7.0	dartanalyzer:public_member_api_docs	Economizapp-ChatGPT	10min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	b161cee3-71f9-4c9f-8ad0-2717b9dfd628	INFO			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Missing documentation for a public member	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/app.dart	false	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=61.0}	10min	e35a38b14ddb110966fef823a3d48139	OPEN
2025-12-26T21:23:11-0300	10.0	dartanalyzer:prefer_final_parameters	Economizapp-ChatGPT	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	7ed87267-5360-487a-9eb7-973e65c03302	MAJOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	The parameter 'context' should be final	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/app.dart	false	{startLine=10.0, endLine=10.0, startOffset=0.0, endOffset=38.0}	1min	27bad62df76e267bd8e5158c080c6f1a	OPEN
2025-12-26T21:23:11-0300	10.0	dartanalyzer:prefer_expression_function_bodies	Economizapp-ChatGPT	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	bbe45d8e-6d6f-4ea6-bbfa-e5354bf0a71e	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Unnecessary use of a block function body	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/app.dart	false	{startLine=10.0, endLine=10.0, startOffset=0.0, endOffset=38.0}	1min	27bad62df76e267bd8e5158c080c6f1a	OPEN
2025-12-26T21:23:11-0300	13.0	dartanalyzer:prefer_double_quotes	Economizapp-ChatGPT	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	92044961-f704-4712-ad12-51974658f25a	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Unnecessary use of single quotes	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/app.dart	false	{startLine=13.0, endLine=13.0, startOffset=0.0, endOffset=27.0}	1min	5d20417444675077947e791525522674	OPEN
2025-12-26T21:23:11-0300	2.0	dartanalyzer:prefer_relative_imports	Economizapp-ChatGPT	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	e13f119d-f7b4-4d11-ab22-c2d266f4e972	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Use relative imports for files in the 'lib' directory	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/main.dart	false	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=73.0}	1min	584971ab4a490cb8c7e74fe163ee6ec2	OPEN
2025-12-26T21:23:11-0300	2.0	dartanalyzer:prefer_double_quotes	Economizapp-ChatGPT	1min	CODE_SMELL	CONVENTIONAL	OPEN		MAIN	f0fd0930-b873-4e1e-8f6b-d25d3378ae85	MINOR			CONSISTENT		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Unnecessary use of single quotes	2025-12-26T21:23:11-0300	false			Economizapp-ChatGPT:lib/main.dart	false	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=73.0}	1min	584971ab4a490cb8c7e74fe163ee6ec2	OPEN
